iter	Passed	Remaining
721	1379	531
722	1380	528
723	1382	526
724	1383	524
725	1385	522
726	1386	520
727	1387	518
728	1388	516
729	1390	514
730	1391	512
731	1393	510
732	1394	507
733	1395	505
734	1397	503
735	1398	501
736	1399	499
737	1400	497
738	1402	495
739	1403	493
740	1405	491
741	1406	489
742	1407	486
743	1409	484
744	1410	482
745	1412	480
746	1413	478
747	1415	476
748	1416	474
749	1418	472
750	1419	470
751	1421	468
752	1422	466
753	1424	464
754	1425	462
755	1427	460
756	1429	458
757	1430	456
758	1432	454
759	1433	452
760	1435	450
761	1436	448
762	1438	446
763	1440	444
764	1441	442
765	1442	440
766	1444	438
767	1445	436
768	1447	434
769	1449	432
770	1450	430
771	1452	429
772	1454	427
773	1455	425
774	1457	423
775	1458	421
776	1460	419
777	1462	417
778	1463	415
779	1464	413
780	1466	411
781	1467	409
782	1469	407
783	1470	405
784	1472	403
785	1473	401
786	1475	399
787	1476	397
788	1477	395
789	1479	393
790	1480	391
791	1482	389
792	1484	387
793	1485	385
794	1487	383
795	1488	381
796	1490	379
797	1491	377
798	1493	375
799	1495	373
800	1496	371
801	1498	369
802	1500	368
803	1501	366
804	1503	364
805	1504	362
806	1506	360
807	1509	358
808	1511	356
809	1512	354
810	1514	352
811	1515	350
812	1517	349
813	1519	347
814	1520	345
815	1522	343
816	1524	341
817	1525	339
818	1527	337
819	1528	335
820	1530	333
821	1532	331
822	1533	329
823	1535	327
824	1537	326
825	1539	324
826	1540	322
827	1541	320
828	1543	318
829	1545	316
830	1546	314
831	1548	312
832	1549	310
833	1551	308
834	1553	306
835	1555	305
836	1556	303
837	1557	301
838	1559	299
839	1560	297
840	1561	295
841	1563	293
842	1564	291
843	1566	289
844	1567	287
845	1569	285
846	1570	283
847	1571	281
848	1573	279
849	1574	277
850	1576	276
851	1577	274
852	1579	272
853	1581	270
854	1582	268
855	1583	266
856	1585	264
857	1586	262
858	1588	260
859	1590	258
860	1591	256
861	1592	255
862	1594	253
863	1595	251
864	1597	249
865	1599	247
866	1600	245
867	1601	243
868	1603	241
869	1604	239
870	1606	237
871	1608	236
872	1609	234
873	1611	232
874	1613	230
875	1614	228
876	1616	226
877	1618	224
878	1619	222
879	1621	221
880	1623	219
881	1624	217
882	1626	215
883	1627	213
884	1629	211
885	1630	209
886	1632	207
887	1633	206
888	1635	204
889	1636	202
890	1638	200
891	1639	198
892	1641	196
893	1642	194
894	1643	192
895	1645	190
896	1646	189
897	1647	187
898	1649	185
899	1651	183
900	1652	181
901	1653	179
902	1655	177
903	1656	175
904	1658	174
905	1659	172
906	1661	170
907	1663	168
908	1664	166
909	1666	164
910	1668	162
911	1669	161
912	1671	159
913	1672	157
914	1674	155
915	1676	153
916	1678	151
917	1679	150
918	1681	148
919	1683	146
920	1684	144
921	1686	142
922	1688	140
923	1689	138
924	1691	137
925	1692	135
926	1694	133
927	1696	131
928	1697	129
929	1699	127
930	1700	126
931	1702	124
932	1703	122
933	1705	120
934	1706	118
935	1708	116
936	1710	114
937	1711	113
938	1713	111
939	1715	109
940	1716	107
941	1718	105
942	1720	103
943	1721	102
944	1722	100
945	1724	98
946	1725	96
947	1727	94
948	1729	92
949	1730	91
950	1732	89
951	1733	87
952	1735	85
953	1736	83
954	1738	81
